NAME,GAME,TYPE,CHAPTER,LOCATION,DESCRIPTION,URL
Flint,1,1,1,World Map (outside Vale),Flint will join automatically.,goldensun/venus_djinni.png
Forge,1,2,1,Goma Cave,Fever can be found sitting on top of a cliff.,goldensun/mars_djinni.png
Gust,1,3,1,Bilibin,Gust can be found by solving the puzzle underground.,goldensun/jupiter_djinni.png
Granite,1,1,1,Kolima,Granite can be found by entering a secret passages from behind one of the houses.,goldensun/venus_djinni.png
Breeze,1,3,1,Tret Tree,Zephyr can be found sitting on of Tret's branches.,goldensun/jupiter_djinni.png
Fever,1,2,1,Imil,Fever can be found in a cave after solving an ice puzzle.,goldensun/mars_djinni.png
Fizz,1,4,1,Mercury Lighthouse,Fizz will join alongside Mia.,goldensun/mercury_djinni.png
Sleet,1,4,1,Mercury Lighthouse,Sleet can be found behind one of the waterfalls.,goldensun/mercury_djinni.png
Zephyr,1,3,2,Fushin Falls Cave,Zephyr can be found after solving a log puzzle.,goldensun/jupiter_djinni.png
Quartz,1,1,2,Mogall Forest,Quartz can be found after solving a log puzzle.,goldensun/venus_djinni.png
Mist,1,4,2,Xian,Mist can be found after making an NPC drop their water and using Frost to create a passage.,goldensun/mercury_djinni.png
Corona,1,2,2,World Map (north of Xian),Corona can be found to the north of Xian.,goldensun/mars_djinni.png
Spritz,1,4,2,Altin Peak,Spritz can be found after solving a minecart puzzle.,goldensun/mercury_djinni.png
Smog,1,3,2,Lamakan Desert,Smog can be found hidden by Reveal.,goldensun/jupiter_djinni.png
Vine,1,1,3,World Map (west of Lamakan Desert),Vine can be found to the west of Lamakan Desert.,goldensun/venus_djinni.png
Scorch,1,2,3,Kalay Tunnel,Scorch can be found by entering the Kalay Tunnel and solving the water puzzle.,goldensun/mars_djinni.png
Sap,1,1,3,Vault,Sap can be found by ringing the bell on top of the tower and then using Reveal to enter a secret tunnel.,goldensun/venus_djinni.png
Kite,1,3,3,Vale Cave,"Kite can be found after using Lift to enter Vale Cave in Vale, using the newly-obtained Halt psynergy to catch the djinn.",goldensun/jupiter_djinni.png
Ember,1,2,3,Tolbi,"Ember can be found in a corner in Tolbi, after using psynergy to create a passage to it.",goldensun/mars_djinni.png
Hail,1,4,3,World Map (west of Altmiller Cave),Hail can be found to the north of Tolbi and to the west of Altmiller Cave.,goldensun/mercury_djinni.png
Ground,1,1,3,Kalay Docks,Ground can be found by walking around the Karagol Sea from Tolbi and entering the back end of Kalay Docks.,goldensun/venus_djinni.png
Squall,1,3,3,Altmiller Cave,Squall can be found after solving a fallen pillar puzzle.,goldensun/jupiter_djinni.png
Tonic,1,4,3,Lunpa Fortress,Tonic can be found after obtaining the Cloak psynergy and talking to Donpa after clearing the Lunpa Fortress.,goldensun/mercury_djinni.png
Flash,1,2,4,Suhalla Desert,Flash can be found by using Reveal to uncover a secret passage.,goldensun/mars_djinni.png
Dew,1,4,4,Suhalla Gate,Dew can be found by dropping off the correct part of the cliff.,goldensun/mercury_djinni.png
Torch,1,2,4,Lalivero,Torch can be found by jumping across the rooftops.,goldensun/mars_djinni.png
Luff,1,3,4,Babi Lighthouse,Luff can be found after falling down a particular ledge.,goldensun/jupiter_djinni.png
Bane,1,1,4,Crossbone Isle,Bane can be found by solving the puzzle on the sixth floor of Crossbone Isle.,goldensun/venus_djinni.png
Echo,2,1,2,World Map (outside of Daila),Echo will join automatically.,goldensun/venus_djinni.png
Fog,2,4,2,Kandorean Temple,Fog can be found after obtaining Lash by going back into the dungeon.,goldensun/mercury_djinni.png
Breath,2,3,2,Shrine of the Sea God,"Breath can be found after obtaining Lash, by chasing it deeper into the shrine.",goldensun/jupiter_djinni.png
Cannon,2,2,2,Dehkan Plateau,Cannon can be found by solving a Pound puzzle.,goldensun/mars_djinni.png
Zagan,2,5,2,Indra Cavern,Zagan can be found in a cave west of the Dehkan Plateau.,thelostage/zagan.png
Iron,2,1,2,World Map (west of Madra),Iron can be found in the forest to the west of Madra.,goldensun/venus_djinni.png
Blitz,2,3,3,Yampi Desert,Blitz can be found by solving a Pound puzzle.,goldensun/jupiter_djinni.png
Flora,2,5,3,Air's Rock,Flora can be found by solving a Whirlwind puzzle inside of Air's Rock.,thelostage/flora.png
Ether,2,3,3,Garoh,Ether can be found by talking to Master Maha during the day.,goldensun/jupiter_djinni.png
Spark,2,2,3,Mikasalla,Spark can be found by using Scoop to uncover an underground tunnel.,goldensun/mars_djinni.png
Sour,2,4,3,World Map (northeast of Mikasalla),Sour can be found in a patch of land to the northeast of Mikasalla.,goldensun/mercury_djinni.png
Megaera,2,5,3,Osenia Cavern,Megaera can be found in a cave northeast of Mikasalla by solving the Scoop puzzle.,thelostage/megaera.png
Kindle,2,2,4,Gondowan Cliffs,Kindle can be found towards the Gondowan side of the Gondowan Cliffs.,goldensun/mars_djinni.png
Chill,2,4,4,World Map (west of Gondowan Cliffs),Chill can be found by hrading west from the Gondowan Cliffs.,goldensun/mercury_djinni.png
Spring,2,4,4,Kibombo,Spring will join alongside Piers.,goldensun/mercury_djinni.png
Shade,2,4,4,Kibombo,Shade will join alongside Piers.,goldensun/mercury_djinni.png
Steel,2,1,4,Gabomba Statue,Steel can be found by falling down the correct cliff.,goldensun/venus_djinni.png
Waft,2,3,4,Kibombo Mountains,Waft can be found after solving the Frost puzzle.,goldensun/jupiter_djinni.png
Char,2,2,4,Madra,Char can be found by giving an old couple a Healing Fungus.,goldensun/mars_djinni.png
Moloch,2,5,4,Madra Catacombs,Moloch can be found by reaching the depths of Madra Catacombs using Reveal and Frost.,thelostage/moloch.png
Mud,2,1,4,Gabomba Catacombs,Mud can be found by solving the Cyclone puzzle.,goldensun/venus_djinni.png
Flower,2,1,5,Taopo Swamp,Flower can be found by maneuvering through the air spout puzzle in the main cavern.,goldensun/venus_djinni.png
